T35,Net disbursements of official development assistance from donors,,,,,
246,Finland,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),388,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
246,Finland,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),902,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
246,Finland,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,333",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
246,Finland,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,288",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
246,Finland,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,149",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
246,Finland,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,278",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
246,Finland,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,493",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
246,Finland,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.32,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
246,Finland,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.53,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
246,Finland,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.49,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
246,Finland,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.84,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
246,Finland,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.78,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
246,Finland,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),-0.02,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
246,Finland,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.83,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
246,Finland,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.96,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
250,France,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,493",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
250,France,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,134",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
250,France,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"8,443",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
250,France,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"10,026",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
250,France,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"12,915",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
250,France,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"9,039",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
250,France,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"11,984",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
250,France,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"16,013",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
250,France,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"16,700",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
250,France,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.16,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
250,France,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.51,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
250,France,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.81,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
250,France,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.74,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
250,France,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.35,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
250,France,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.05,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
250,France,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.79,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
250,France,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.59,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
276,Germany,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,689",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
276,Germany,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,942",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
276,Germany,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"7,524",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
276,Germany,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"10,082",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
276,Germany,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"12,985",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
276,Germany,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"17,940",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
276,Germany,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"24,122",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
276,Germany,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"29,320",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
276,Germany,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"31,491",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
276,Germany,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.19,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
276,Germany,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.92,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
276,Germany,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.87,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
276,Germany,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.10,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
276,Germany,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.24,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
276,Germany,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.39,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
276,Germany,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.07,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
276,Germany,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.14,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
300,Greece,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),384,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
300,Greece,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),508,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
300,Greece,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),239,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
300,Greece,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),368,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
300,Greece,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),325,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
300,Greece,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),264,Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
300,Greece,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.32,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
300,Greece,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.26,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
300,Greece,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),-0.04,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
300,Greece,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.18,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
300,Greece,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.24,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
348,Hungary,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),29,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
348,Hungary,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),84,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
348,Hungary,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),100,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
348,Hungary,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),114,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
348,Hungary,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),156,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
348,Hungary,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),312,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
348,Hungary,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),418,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
348,Hungary,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),455,Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
348,Hungary,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.11,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
348,Hungary,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
348,Hungary,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.13,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
348,Hungary,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),8.35,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
348,Hungary,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),2.25,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
352,Iceland,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),27,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
352,Iceland,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),29,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
352,Iceland,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),40,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
352,Iceland,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),61,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
352,Iceland,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),58,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
352,Iceland,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),72,Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
352,Iceland,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.18,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
352,Iceland,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.26,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
352,Iceland,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.24,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
352,Iceland,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.48,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
352,Iceland,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.27,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
372,Ireland,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),8,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
372,Ireland,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),39,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
372,Ireland,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),153,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
372,Ireland,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),719,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
372,Ireland,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),895,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
372,Ireland,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),718,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
372,Ireland,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),973,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
372,Ireland,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),988,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
372,Ireland,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,169",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
372,Ireland,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
372,Ireland,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.61,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
372,Ireland,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.46,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
372,Ireland,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),3.09,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
372,Ireland,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.57,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
372,Ireland,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.54,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
372,Ireland,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.37,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
372,Ireland,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.31,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
376,Israel,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),95,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
376,Israel,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),145,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
376,Israel,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),233,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
376,Israel,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),281,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
376,Israel,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),291,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
376,Israel,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),394,Estimate.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
380,Italy,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),182,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
380,Italy,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,098",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
380,Italy,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,623",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
380,Italy,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,091",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
380,Italy,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,996",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
380,Italy,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,003",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
380,Italy,2019,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,298",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
380,Italy,2020,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,396",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
380,Italy,2021,Net official development assistance to developing countries and multilateral organizations (millions of US$),"6,119",Estimate.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
380,Italy,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.85,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
380,Italy,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.52,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
380,Italy,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.26,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
380,Italy,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.23,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
380,Italy,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.47,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
380,Italy,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.86,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
380,Italy,2019,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.33,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
380,Italy,2020,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.34,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2022."
